,Idade,Salario_anual,Situacao_prop,Tempo_trabalho,Motivo_emprest,Pont_emprest,Total_emprest,Tx_juros,Possib_inadimp,Renda_pecentual,Periodo,Inadimplente
0,32.0,22704.0,Rent,4.0,Debtconsolidation,B,6800.0,11.0,0.0,0.3,8,N
1,34.0,222000.0,Mortgage,0.0,Medical,A,13000.0,8.49,0.0,0.06,7,N
2,35.0,48000.0,Own,6.0,Homeimprovement,C,4200.0,13.61,0.0,0.09,7,N
3,40.0,52000.0,Rent,2.0,Education,F,15000.0,18.62,1.0,0.29,17,Y
4,22.0,24000.0,Own,3.0,Education,B,6000.0,11.49,0.0,0.25,4,N
5,23.0,57600.0,Mortgage,7.0,Personal,A,5000.0,5.79,0.0,0.09,3,N
6,28.0,51996.0,Rent,11.0,Homeimprovement,A,9600.0,9.07,0.0,0.18,7,N
7,29.0,260000.0,Mortgage,0.0,Homeimprovement,B,20000.0,10.37,0.0,0.08,6,N
8,25.0,75000.0,Mortgage,8.0,Debtconsolidation,A,15000.0,9.63,0.0,0.2,3,N
9,25.0,69000.0,Rent,3.0,Debtconsolidation,D,10000.0,14.09,1.0,0.14,2,Y
10,25.0,87999.0,Rent,5.0,Personal,C,2400.0,14.79,1.0,0.03,4,Y
11,22.0,42000.0,Rent,0.0,Personal,A,3600.0,7.37,0.0,0.09,3,N
12,29.0,70000.0,Mortgage,7.0,Medical,B,4000.0,11.86,0.0,0.06,6,N
13,24.0,54996.0,Own,0.0,Venture,B,12000.0,11.26,0.0,0.22,3,N
14,26.0,80000.0,Rent,0.0,Education,C,9000.0,10.91,0.0,0.11,3,Y
15,25.0,70000.0,Rent,6.0,Personal,B,15000.0,11.89,0.0,0.21,2,N
16,23.0,90000.0,Mortgage,6.0,Personal,B,15000.0,9.99,1.0,0.17,3,N
17,42.0,82500.0,Rent,3.0,Debtconsolidation,A,2575.0,6.76,0.0,0.03,11,N
18,25.0,69996.0,Rent,9.0,Education,D,25000.0,15.21,1.0,0.36,3,N
19,25.0,45000.0,Mortgage,0.0,Venture,B,7500.0,10.39,0.0,0.17,3,N
20,28.0,69996.0,Rent,8.0,Debtconsolidation,A,3500.0,6.62,0.0,0.05,9,N
21,26.0,64500.0,Mortgage,5.0,Education,A,8000.0,10.99,1.0,0.16,4,N
22,29.0,72000.0,Rent,13.0,Medical,C,15900.0,13.04,0.0,0.22,9,N
23,26.0,155142.0,Mortgage,6.0,Personal,D,23000.0,18.25,0.0,0.15,2,N
24,26.0,20004.0,Rent,2.0,Education,A,2000.0,8.59,1.0,0.1,3,N
25,26.0,107496.0,Mortgage,9.0,Debtconsolidation,B,20000.0,12.69,0.0,0.19,4,N
26,24.0,150000.0,Mortgage,5.0,Debtconsolidation,B,20000.0,10.51,0.0,0.13,4,N
27,26.0,72600.0,Mortgage,3.0,Medical,A,4500.0,7.74,0.0,0.06,2,N
28,43.0,25000.0,Mortgage,10.0,Education,B,10000.0,9.62,0.0,0.4,17,N
29,22.0,52500.0,Mortgage,6.0,Debtconsolidation,C,8000.0,15.23,0.0,0.15,3,N
30,30.0,12000.0,Rent,4.0,Medical,C,1800.0,14.35,0.0,0.15,5,Y
31,23.0,120000.0,Mortgage,7.0,Venture,C,6000.0,13.06,0.0,0.05,4,N
32,22.0,56000.0,Rent,5.0,Education,C,14000.0,14.35,0.0,0.25,4,Y
33,33.0,102996.0,Mortgage,4.0,Debtconsolidation,A,6000.0,11.0,0.0,0.06,8,N
34,29.0,50000.0,Rent,2.0,Debtconsolidation,B,10000.0,11.26,0.0,0.2,6,N
35,27.0,51000.0,Rent,9.0,Personal,B,1600.0,10.59,0.0,0.03,8,N
36,23.0,33500.0,Rent,2.0,Education,E,2500.0,15.68,1.0,0.07,4,Y
37,25.0,102000.0,Mortgage,7.0,Homeimprovement,G,25000.0,20.16,1.0,0.25,4,Y
38,21.0,33996.0,Rent,1.0,Personal,C,6000.0,12.53,0.0,0.18,3,Y
39,27.0,100000.0,Mortgage,1.0,Debtconsolidation,C,16000.0,13.43,0.0,0.16,5,N
40,28.0,159000.0,Mortgage,3.0,Personal,B,15000.0,11.86,0.0,0.09,8,N
41,23.0,30000.0,Rent,1.0,Education,A,8400.0,11.0,1.0,0.28,3,N
42,23.0,75000.0,Rent,1.0,Venture,B,6000.0,12.42,0.0,0.08,3,N
43,33.0,170004.0,Mortgage,17.0,Personal,A,12000.0,7.51,0.0,0.07,9,N
44,29.0,58800.0,Mortgage,4.0,Venture,B,11400.0,10.99,0.0,0.19,9,N
45,23.0,98000.0,Mortgage,7.0,Venture,A,10000.0,11.0,0.0,0.1,4,N
46,42.0,51000.0,Own,6.0,Venture,B,18000.0,9.91,0.0,0.35,13,N
47,30.0,54000.0,Rent,2.0,Homeimprovement,E,5000.0,15.13,1.0,0.09,7,N
48,36.0,106000.0,Mortgage,15.0,Homeimprovement,A,4025.0,7.49,0.0,0.04,14,N
49,26.0,65000.0,Mortgage,11.0,Homeimprovement,A,10950.0,7.88,0.0,0.17,2,N
50,25.0,46500.0,Rent,1.0,Education,B,6000.0,8.88,0.0,0.13,2,N
51,33.0,56136.0,Rent,12.0,Venture,E,19000.0,15.68,1.0,0.34,5,Y
52,29.0,44720.0,Rent,6.0,Education,B,7500.0,11.0,0.0,0.17,5,N
53,42.0,36000.0,Rent,7.0,Medical,D,8400.0,16.32,1.0,0.23,15,Y
54,29.0,120000.0,Own,11.0,Personal,D,5000.0,14.09,0.0,0.04,5,Y
55,24.0,33000.0,Rent,3.0,Debtconsolidation,D,6000.0,15.62,1.0,0.18,2,N
56,26.0,172500.0,Rent,3.0,Homeimprovement,B,20000.0,11.83,0.0,0.12,2,N
57,31.0,77000.0,Rent,2.0,Personal,A,15000.0,8.38,0.0,0.19,8,N
58,33.0,35000.0,Rent,0.0,Medical,A,4000.0,7.88,0.0,0.11,5,N
59,30.0,79200.0,Mortgage,10.0,Education,A,9000.0,8.49,1.0,0.11,8,N
60,26.0,54200.0,Mortgage,3.0,Homeimprovement,A,7000.0,7.49,0.0,0.13,3,N
61,34.0,64000.0,Mortgage,1.0,Medical,A,7200.0,7.29,0.0,0.11,7,N
62,34.0,75000.0,Mortgage,6.0,Venture,A,8000.0,5.42,0.0,0.11,10,N
63,36.0,52000.0,Mortgage,20.0,Venture,A,8325.0,11.0,0.0,0.16,17,N
64,33.0,55000.0,Mortgage,3.0,Medical,A,1775.0,7.49,0.0,0.03,7,N
65,24.0,54000.0,Rent,2.0,Venture,D,20000.0,16.49,1.0,0.37,2,N
66,49.0,120000.0,Mortgage,12.0,Medical,B,12000.0,10.99,0.0,0.1,12,N
67,21.0,35000.0,Rent,0.0,Personal,F,8000.0,19.79,1.0,0.23,4,Y
68,32.0,130000.0,Rent,0.0,Personal,B,12500.0,9.99,0.0,0.1,6,N
69,27.0,44000.0,Mortgage,3.0,Education,C,6400.0,13.85,0.0,0.15,10,N
70,24.0,72000.0,Rent,8.0,Personal,C,16000.0,13.06,0.0,0.22,2,Y
71,25.0,61200.0,Mortgage,1.0,Personal,A,5650.0,7.66,0.0,0.09,4,N
72,31.0,51500.0,Rent,6.0,Homeimprovement,D,19000.0,14.83,1.0,0.37,10,N
73,28.0,57408.0,Rent,2.0,Homeimprovement,B,4800.0,11.99,0.0,0.08,6,N
74,26.0,183700.0,Rent,2.0,Personal,D,8000.0,15.62,1.0,0.04,4,Y
75,28.0,38000.0,Rent,12.0,Personal,A,3200.0,9.63,0.0,0.08,6,N
76,23.0,24000.0,Own,1.0,Education,B,1500.0,12.21,0.0,0.06,2,N
77,31.0,43200.0,Mortgage,0.0,Venture,A,3000.0,8.9,0.0,0.07,6,N
78,62.0,62050.0,Mortgage,29.0,Medical,C,25000.0,13.43,1.0,0.34,28,Y
79,27.0,150000.0,Mortgage,4.0,Venture,C,6000.0,13.49,0.0,0.04,6,N
80,35.0,60000.0,Own,1.0,Personal,D,5000.0,15.7,0.0,0.08,9,N
81,22.0,50000.0,Mortgage,6.0,Education,B,13000.0,10.65,0.0,0.26,3,N
82,25.0,41000.0,Mortgage,9.0,Education,C,5000.0,11.78,1.0,0.12,3,Y
83,39.0,73000.0,Mortgage,3.0,Venture,A,10000.0,7.51,0.0,0.14,14,N
84,29.0,192000.0,Mortgage,6.0,Venture,C,15000.0,14.27,0.0,0.08,6,Y
85,33.0,29736.0,Rent,4.0,Venture,B,9250.0,9.99,1.0,0.31,10,N
86,22.0,48000.0,Mortgage,6.0,Education,A,9925.0,9.63,0.0,0.21,2,N
87,26.0,139992.0,Mortgage,0.0,Education,B,14400.0,11.0,0.0,0.1,4,N
88,23.0,83000.0,Mortgage,7.0,Education,B,24175.0,11.11,1.0,0.29,2,N
89,32.0,130000.0,Mortgage,0.0,Education,A,12000.0,8.59,0.0,0.09,5,N
90,26.0,50004.0,Mortgage,10.0,Education,A,5000.0,9.32,0.0,0.1,2,N
91,24.0,85000.0,Rent,1.0,Venture,B,16000.0,11.99,0.0,0.19,3,N
92,27.0,83000.0,Mortgage,11.0,Education,A,3500.0,6.03,0.0,0.04,5,N
93,30.0,34000.0,Mortgage,8.0,Personal,A,12000.0,11.0,1.0,0.35,10,N
94,21.0,39900.0,Rent,0.0,Education,A,12000.0,7.9,0.0,0.3,4,N
95,24.0,73000.0,Mortgage,3.0,Medical,A,10000.0,7.49,0.0,0.14,3,N
96,35.0,60000.0,Own,9.0,Personal,B,24000.0,12.53,0.0,0.4,9,N
97,31.0,30000.0,Rent,4.0,Medical,B,4800.0,12.42,0.0,0.16,8,N
98,36.0,40000.0,Own,4.0,Venture,B,14000.0,10.99,0.0,0.35,16,N
99,24.0,82000.0,Other,2.0,Personal,A,14700.0,9.63,0.0,0.18,3,N
100,28.0,33600.0,Rent,12.0,Venture,A,5000.0,5.42,0.0,0.15,8,N
101,26.0,30320.0,Rent,2.0,Personal,B,7500.0,12.18,1.0,0.25,3,N
102,30.0,62000.0,Mortgage,4.0,Personal,B,8000.0,11.0,0.0,0.13,10,N
103,29.0,43108.0,Rent,7.0,Venture,A,7200.0,6.03,0.0,0.17,7,N
104,35.0,24996.0,Rent,2.0,Debtconsolidation,B,6200.0,11.0,0.0,0.25,5,N
105,23.0,50000.0,Mortgage,2.0,Debtconsolidation,B,14400.0,10.0,0.0,0.29,2,N
106,24.0,96900.0,Mortgage,8.0,Debtconsolidation,A,9300.0,6.17,0.0,0.1,2,N
107,26.0,30000.0,Rent,7.0,Debtconsolidation,D,5000.0,14.42,1.0,0.17,4,N
108,28.0,75000.0,Mortgage,12.0,Debtconsolidation,C,15250.0,11.34,0.0,0.2,7,Y
109,30.0,145000.0,Mortgage,4.0,Debtconsolidation,B,6000.0,10.59,0.0,0.04,8,N
110,28.0,52524.0,Mortgage,11.0,Medical,A,9200.0,9.32,0.0,0.18,7,N
111,34.0,63500.0,Mortgage,18.0,Homeimprovement,A,5125.0,8.49,0.0,0.08,5,N
